Request at: 2/10/2026, 11:14:28 AM | Method: GET | URL: /students
Request at: 2/10/2026, 11:14:37 AM | Method: GET | URL: /students
Request at: 2/10/2026, 11:14:38 AM | Method: GET | URL: /students
Request at: 2/10/2026, 11:14:39 AM | Method: GET | URL: /students
Request at: 2/10/2026, 11:14:39 AM | Method: GET | URL: /students
Request at: 2/10/2026, 11:14:40 AM | Method: GET | URL: /students
Request at: 2/10/2026, 11:14:40 AM | Method: GET | URL: /students
Request at: 2/10/2026, 11:14:40 AM | Method: GET | URL: /students
Request at: 2/10/2026, 11:14:41 AM | Method: GET | URL: /students
Request at: 2/10/2026, 11:14:41 AM | Method: GET | URL: /students
Request at: 2/10/2026, 11:14:45 AM | Method: GET | URL: /students
Request at: 2/10/2026, 11:14:46 AM | Method: GET | URL: /students
Request at: 2/10/2026, 11:14:47 AM | Method: GET | URL: /students
Request at: 2/10/2026, 11:14:47 AM | Method: GET | URL: /students
Request at: 2/10/2026, 11:15:11 AM | Method: POST | URL: /students
Request at: 2/10/2026, 11:15:18 AM | Method: GET | URL: /students
Request at: 2/10/2026, 11:15:38 AM | Method: GET | URL: /students
Request at: 2/10/2026, 11:15:39 AM | Method: GET | URL: /students
Request at: 2/10/2026, 11:15:39 AM | Method: GET | URL: /students
Request at: 2/10/2026, 11:15:39 AM | Method: GET | URL: /students
Request at: 2/10/2026, 11:15:39 AM | Method: GET | URL: /students
Request at: 2/10/2026, 11:15:40 AM | Method: GET | URL: /students
Request at: 2/10/2026, 11:15:51 AM | Method: GET | URL: /students
Request at: 2/10/2026, 11:15:52 AM | Method: GET | URL: /students
Request at: 2/10/2026, 11:15:54 AM | Method: GET | URL: /students
Request at: 2/10/2026, 11:15:54 AM | Method: GET | URL: /students
Request at: 2/10/2026, 11:16:51 AM | Method: GET | URL: /students/:id
Request at: 2/10/2026, 11:16:57 AM | Method: GET | URL: /students/3
Request at: 2/10/2026, 11:16:58 AM | Method: GET | URL: /students/3
Request at: 2/10/2026, 11:17:55 AM | Method: GET | URL: /students/3
Request at: 2/10/2026, 11:17:56 AM | Method: GET | URL: /students/3
Request at: 2/10/2026, 11:19:15 AM | Method: GET | URL: /students/3
Request at: 2/10/2026, 11:20:40 AM | Method: PUT | URL: /students/3
Request at: 2/10/2026, 11:20:49 AM | Method: DELETE | URL: /students/3
Request at: 2/10/2026, 11:20:53 AM | Method: DELETE | URL: /students
Request at: 2/10/2026, 11:21:43 AM | Method: PUT | URL: /students/3
Request at: 2/10/2026, 11:21:53 AM | Method: DELETE | URL: /students/3
